Laptop Name ,Brand,Model,Type,Price,CPU Brand,CPU Type,CPU Model,CPU Cores,CPU Speed (GHz),Speed Rating,Ram (GB) - Memory,SSD(GB) - Memory,Memory Rating,GPU (Brand),GPU (Model),Connectivity ,Operating System,Size (inches) - display,Resolution width x height (pixels) - display,Display Rating,Touchscreen,Weight (lbs),Quality Rating,Hyperlink
ASUS Chromebook C403,Asus,Chromebook,Business,179.00,Intel ,Celeron ,N3350,2,1.10,4,4,32,2,Intel,Integrated,USB-C (2); USB 3.1 Type-A ports (2),ChromeOS,14,1366 x 768 ,5,false,3.75,6,https://www.amazon.ca/Asus-ASUS-Intel-Dual-Core-Celeron/dp/B082L3VK13?ref_=Oct_d_obs_d_677252011&pd_rd_w=5F5lo&content-id=amzn1.sym.a26ace70-029b-45dd-99a6-bbbb61b20bbb&pf_rd_p=a26ace70-029b-45dd-99a6-bbbb61b20bbb&pf_rd_r=V8FD576F0MHANFPHCJE3&pd_rd_wg=yYGgF&pd_rd_r=b89ac189-19ea-4b52-b530-ad513ff4f971&pd_rd_i=B082L3VK13&th=1
ASUS VivoBook,Asus,Vivobook,Business,299.00,Intel ,Celeron ,N4020,2,1.10,4,4,128,3,Intel,Integrated,‎Bluetooth; 802.11ac,Windows 10 S,14,1366 x 768,5,TRUE,3.09,6,https://www.amazon.ca/VivoBook-Celeron-Microsoft-Personal-J401MA-AB02T-CA/dp/B0967NSL2C?ref_=Oct_d_omwf_d_677252011&pd_rd_w=n313Z&content-id=amzn1.sym.6036d596-8aff-42f3-867f-4cca98654903&pf_rd_p=6036d596-8aff-42f3-867f-4cca98654903&pf_rd_r=44QXE9M77A909Q5728HW&pd_rd_wg=GeeM2&pd_rd_r=182b9af3-3d48-4623-aa6f-327e2bf2b2b0&pd_rd_i=B0967NSL2C
Samsung Galaxy Book,Samsung,GalaxyBook,Business,299.99,Snapdragon,Qualcomm,7c,8,2.55,7,4,128,3,Intel,Integrated,USB 2.0 (1),Windows 11,14,1920 x 1080 ,7,FALSE,2.31,10,https://www.amazon.ca/Samsung-Galaxy-Book-S-Mode-Laptop/dp/B09YXXY33R?ref_=Oct_d_omwf_d_677252011&pd_rd_w=CGEFG&content-id=amzn1.sym.6036d596-8aff-42f3-867f-4cca98654903&pf_rd_p=6036d596-8aff-42f3-867f-4cca98654903&pf_rd_r=H8MB25FNQJFG5HJHNDZ8&pd_rd_wg=MfPhw&pd_rd_r=ecd5bb44-b709-4257-af61-89284854a408&pd_rd_i=B09YXXY33R
ASUS VivoBook 14 X415,Asus,Vivobook,Business,449.00,Intel ,i3,1115G4,2,3.00,6,8,256,4,Intel,Integrated,‎Bluetooth; 802.11ac,‎Windows 11 ,14,1920 x 1080,7,FALSE,3.25,7,https://www.amazon.ca/VivoBook-i3-1115G4-Processor-Graphics-X415EA-TS31-CB/dp/B0B4F5MFCS?ref_=Oct_d_obs_d_677252011&pd_rd_w=ly3ye&content-id=amzn1.sym.a26ace70-029b-45dd-99a6-bbbb61b20bbb&pf_rd_p=a26ace70-029b-45dd-99a6-bbbb61b20bbb&pf_rd_r=1JYR5XBT2RX3Y76TKXMV&pd_rd_wg=bZyqV&pd_rd_r=70aba53e-a920-4648-86d3-7b9bc1f4d9cc&pd_rd_i=B0B4F5MFCS&th=1
Acer Convertible Chromebook,Acer,Chromebook,Business,429.99,mediatek,A4M9120C ,mt8184,8,2.00,5,4,64,2,Intel,Integrated,‎Bluetooth; 802.11ac,‎Chrome OS,11.6,1366 x 768,6,TRUE,2.9,7,https://www.amazon.ca/Acer-Convertible-Chromebook-Processor-CP311-3H-K4S1/dp/B088FYSDRH?ref_=Oct_d_obs_d_677252011&pd_rd_w=ly3ye&content-id=amzn1.sym.a26ace70-029b-45dd-99a6-bbbb61b20bbb&pf_rd_p=a26ace70-029b-45dd-99a6-bbbb61b20bbb&pf_rd_r=1JYR5XBT2RX3Y76TKXMV&pd_rd_wg=bZyqV&pd_rd_r=70aba53e-a920-4648-86d3-7b9bc1f4d9cc&pd_rd_i=B088FYSDRH&th=1
ASUS VivoBook 15 X515 ,Asus,Vivobook,Business,345.47,Intel ,UHD Graphics,605,4,1.10,5,4,128,3,Intel,Integrated,‎Bluetooth; 802.11ac,Windows 11 ,15.6,1366 x 768,5,FALSE,3.61,6,https://www.amazon.ca/VivoBook-Pentium%C2%AE-Microsoft-Personal-X515MA-AH09-CA/dp/B09HN325SY?ref_=Oct_d_obs_d_677252011&pd_rd_w=ly3ye&content-id=amzn1.sym.a26ace70-029b-45dd-99a6-bbbb61b20bbb&pf_rd_p=a26ace70-029b-45dd-99a6-bbbb61b20bbb&pf_rd_r=1JYR5XBT2RX3Y76TKXMV&pd_rd_wg=bZyqV&pd_rd_r=70aba53e-a920-4648-86d3-7b9bc1f4d9cc&pd_rd_i=B09HN325SY
HP Chromebook 14-inch ,HP,Chromebook,Gaming,379.99,Intel ,UHD Graphics, N6000,4,3.30,5,4,128,3,Intel,Integrated,Bluetooth; 802.11a/b/g/n/ac,‎Chrome OS,14,1920 x 1080 ,5,FALSE,2.25,6,https://www.amazon.ca/HP-Chromebook-Computer-Processor-14a-na1020ca/dp/B094RGNSHZ/ref=sr_1_32_sspa?keywords=Gaming&pf_rd_i=677252011&pf_rd_m=A1IM4EOPHS76S7&pf_rd_p=c8520d34-e520-43d7-8c22-82a3ca888253&pf_rd_r=1JYR5XBT2RX3Y76TKXMV&pf_rd_s=merchandised-search-2&pf_rd_t=101&qid=1669339554&qu=eyJxc2MiOiI4Ljk4IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzUifQ%3D%3D&refinements=p_36%3A12035764011&rnid=12035759011&s=pc&sr=1-32-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&th=1
LBEC Gaming Laptop,LBEC,Laptop,Gaming,480.41,Intel ,Celeron ,J4125,4,2.70,5,12,256,5,Intel,Integrated,Bluetooth,Window11,15.6,1920 x 1080,9,FALSE,3.4,5,https://www.amazon.ca/Gaming-Laptop-Window11-Fingerprint-Students/dp/B0BH6TDNZT/ref=sr_1_47_sspa?keywords=Gaming&pf_rd_i=677252011&pf_rd_m=A1IM4EOPHS76S7&pf_rd_p=c8520d34-e520-43d7-8c22-82a3ca888253&pf_rd_r=1JYR5XBT2RX3Y76TKXMV&pf_rd_s=merchandised-search-2&pf_rd_t=101&qid=1669340155&qu=eyJxc2MiOiI4Ljk4IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzUifQ%3D%3D&refinements=p_36%3A12035764011&rnid=12035759011&s=pc&sr=1-47-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&th=1
ASUS Chromebook Flip C433TA-AB31-CA 2,Asus,Chromebook,Business,460.00,Intel ,Core m3,8100Y,2,1.10,4,4,64,4,Intel,Integrated,‎Bluetooth; 801.11ac,ChromeOS,14,‎1920 x 1080,7,FALSE,3.2,6,https://www.amazon.ca/Chromebook-C433TA-AB31-CA-Touchscreen-NanoEdge-Processor/dp/B087Z9SNTP/ref=d_pd_di_sccai_cn_sccl_2_2/134-1190183-2125152?pd_rd_w=0iFsf&content-id=amzn1.sym.d6674fdf-bd00-4d07-8317-6dfd6c498cdf&pf_rd_p=d6674fdf-bd00-4d07-8317-6dfd6c498cdf&pf_rd_r=8NCBTCBBZ6PRRP6FP149&pd_rd_wg=LGtvr&pd_rd_r=0b138962-4f9e-4d93-9e77-360beaa52200&pd_rd_i=B087Z9SNTP&th=1
HP Laptop 14 inch,HP,Laptop,Business,399.99,Intel,i3,1125G4 ,4,3.70,6,4,128,3,Intel,Integrated,‎Bluetooth,‎Windows 10 ,14,‎1920 x 1080,8,FALSE,2.25,4,https://www.amazon.ca/HP-i3-1125G4-Processor-DDR4-2666-14-dq2020ca/dp/B0983XV8L6/ref=d_pd_di_sccai_cn_sccl_2_7/134-1190183-2125152?pd_rd_w=qr7Cn&content-id=amzn1.sym.d6674fdf-bd00-4d07-8317-6dfd6c498cdf&pf_rd_p=d6674fdf-bd00-4d07-8317-6dfd6c498cdf&pf_rd_r=S37STMYYDSMCHT6DT871&pd_rd_wg=193Q2&pd_rd_r=db45cd1a-38bd-46e0-a60c-8b3164ee506f&pd_rd_i=B0983XV8L6&psc=1
